PC1,PC2,Cluster
3.257221846371886,2.539727013588198,1
-0.09946725179616092,-0.8554028192819315,0
-0.27225773638123874,-0.18335480428999076,0
-1.2775490202615345,0.32014788865138943,0
-1.2874791536519705,0.20597526884823927,0
0.34368332405921176,2.097170347303972,1
-1.0863726222728358,-0.7546860925471257,0
1.409598692571401,2.3895026330735,1
0.1133114368845361,0.3596952987295581,0
-1.0019199800405665,-0.4391578716178259,0
-0.29035888385454023,-0.7640172456727735,0
-0.26971342220405004,-1.0013049937113272,0
-0.8316845294169204,-1.296584716241282,0
-6.742672051122358,0.13961031539038052,0
-0.18339312706009528,-0.9908242689684722,0
0.583492381825666,0.8124067606693371,1
0.05670255385835264,-0.8344637233189112,0
-1.331481193619752,-0.7074937301237153,0
-0.3676889988363625,-0.7054090712521938,0
-0.5105327413952462,0.10257663348874543,0
1.6058347915580304,2.456929423649443,1
0.15480921056766772,-0.9133669100329748,2
-0.11410009305494903,1.9391125078480993,1
-0.2849651752357444,1.0316635605778661,0
-0.23529005388724442,-0.7631648248182786,0
0.6558002823826814,-0.696270158829891,2
-0.14843642057122589,0.13264288904745794,0
-0.7095663268789356,-0.9094432139360739,0
-0.503278360295161,0.5194465085324677,0
-5.728742789516866,2.125795983439662,0
-0.9116427919935083,0.16789569405450483,0
0.5609058893277088,-0.321842701179492,2
-0.11358863500492977,-0.9905683929141568,0
0.20576844033132144,-0.013362627322539138,0
-0.2635957308811284,-0.9503242540674988,0
-1.0886245887799344,-0.5909899013789215,0
0.1598630478772574,0.5926584799977563,0
-2.552440265294284,-0.4239255344770702,0
-1.3388018625378955,0.4171725082714263,0
0.8836833996585485,1.7535742205502542,1
-1.8660688860886903,1.2995997788099307,0
-5.415916297279615,2.616443577712283,0
-0.644411922575593,-0.2550178027461866,0
0.9445239176624042,0.5126418663588791,2
0.2827180679376463,1.6836180391381328,0
-0.04138758670848415,-0.5844585888211414,0
1.4394391414038772,2.6255945951287423,1
0.6031844138489604,0.4903048098680543,2
-0.4795260105913972,1.1401491105248696,0
0.20340281304808103,2.1869216058966185,1
3.336788597413839,0.24566183098724478,2
0.03180291628496193,1.6797546136903887,0
1.1546465856209283,-0.6251869327941325,2
-0.34837258665945436,1.2372018682861239,1
-0.08586985767183442,2.764114022356809,1
4.550821707147448,1.2027203095091783,2
-0.8808146762784644,1.3088056871938933,0
-5.467913416209372,2.3834777544696024,0
0.14789564157952817,2.913522229342069,1
1.9916854129454276,1.1272686641758576,2
1.62806133977771,-1.029076499840178,2
0.664619544340595,0.1347249865181818,2
-0.6281047456330372,0.0838358980707476,0
0.5759844765032823,-1.0945330118415402,2
-1.6144866545480276,-0.9299987585680003,0
-0.21706559786689575,1.5248987266101361,0
-0.17481376988805433,-1.185116350791969,0
-0.2631429008283238,-1.3640645839316647,0
-0.6021396668398015,-0.6545772567628545,0
0.8536557671704132,2.20567953775459,1
-0.8097030311836851,2.2243529339716406,0
2.6339258496361264,1.6878115438367494,1
0.6690993546156527,2.5748096327117937,1
1.3695794650189088,-0.9030916966032041,2
1.616333427748419,2.421416554141011,1
0.7353185792031381,-0.825062072989964,2
-0.36940940858460747,3.333779676034453,0
0.30776336335085125,2.695045764713707,1
-1.7787678866721328,0.012086957751475693,0
-1.1886298495045928,0.9606305872058006,0
0.42926601462966363,2.951640189742384,1
-1.0194906068752456,1.3894549356156998,0
0.4328301344585428,-0.029116060211138287,2
0.8702621936864078,-0.9627394253276784,2
1.4676207017856666,-1.4672705861458053,2
0.8762067546996896,1.9216671495286728,1
0.09313570195003534,-0.9677136055428197,2
-0.6815257887511771,2.807906325024844,1
-1.12918507680734,0.7471144690785176,0
-0.10604695888058502,-0.0013322360952584891,0
-1.1190834926409454,2.445562707692623,0
0.6811488678290591,-0.7358776431231527,2
0.25696471710305924,0.39990103537324007,0
0.3152829623079975,2.9446647910199477,1
-1.8639021813847179,-1.402724817478528,0
-2.4999559145723365,-0.4970823797953169,0
0.8393420938053175,-1.6315620985449262,2
-0.5522345331074828,-0.8214591943614131,0
-6.011443019957159,0.9091637321311281,0
0.22452332615039558,-0.9633185270423387,2
-0.986080069968231,-2.1205278993409395,0
0.32600680254122094,-1.3326737229817014,2
-0.695461687628428,-1.2418111119815987,0
0.021455274103471103,0.10356862144445197,0
-0.6015079961501064,-0.9935717905519897,0
-1.3741641724326126,-0.3751459380541225,0
1.8697757429553534,-0.7043749644445669,2
-1.6202389985682737,0.12391897024742343,0
-1.4961197545236176,0.014777865402585036,0
2.12474617941636,0.7306305972021132,2
-1.0185614683708566,-0.4148901333028695,0
-0.22379809436334228,1.1252809282429348,0
-0.28092182241802777,-0.8982285523303347,0
-0.31721211184622444,-1.266365529157684,0
-0.7727506722187926,-1.187597941756543,0
-6.795337880367781,1.9400324678482403,0
-0.5046060908962816,-0.0665953687700851,0
-5.862836675264946,0.6910503967713006,0
-0.5224448198532449,0.5835566093277994,0
0.500100132098946,2.192804732606407,1
0.9198739818910325,3.0019045459945937,1
-0.2694541211889915,-0.8506099537646088,0
-0.5217750055440273,-1.017052481716012,0
-0.2520575641776218,-0.5977624370319898,0
0.42494138563004313,0.7448025910380893,0
1.8695842635424305,0.7107167797080405,2
0.061700150416925115,-0.7130517465051005,2
-0.7733760734744621,0.11285068030315695,0
-2.081572781777705,-1.281672880245832,0
1.5776935684842877,-1.383015135216858,2
7.920646768556093,-0.7467000008455558,2
-0.6287825836697969,1.488100088528275,1
0.7351307832909207,0.5827182565989922,1
0.3143457662400001,-0.485069112618869,2
-1.9292861160153199,-0.4937955772988141,0
0.033993188331043034,0.03000395072214167,0
-0.8299560217246695,-0.461008833546961,0
0.35225053511008153,0.574322078699656,0
0.6291308628875473,-0.6979797044992808,2
-0.1342368591747683,-1.2756737918088799,0
-0.6019673365144439,-0.19953671624484168,0
1.6056898574584688,-1.2098669330160197,2
2.2413469797318806,0.30580532113769976,2
1.4786368930642484,-0.29482542541170814,2
0.11573735134422489,0.5026943771568171,0
-1.6872714107188962,-0.48970679684213037,0
-0.37389030129778855,-0.8377525328429618,0
1.650139604155977,1.894572918988072,2
-1.2238471574962777,-0.6181603253246526,0
2.995578171923585,0.650580149705946,2
-0.2887503841441228,2.3984697211483628,1
0.19523236371311214,-0.5064571985752055,2
-1.1058013851093917,0.36732113184246745,0
-1.966907663093657,-0.29891582807942835,0
-0.8665315689380079,0.9331984473203865,0
-0.8045179722221266,1.8380595410892118,1
1.3873829287939152,0.8033133429541748,2
1.1928634169069323,2.4608193605194164,1
-0.3011571688207557,2.840539497705265,1
-2.429755580682579,-0.06843669209945655,0
2.0374851545486847,0.21441883018460123,2
0.5562995636891945,-0.7982816670452243,2
-0.6223864522265764,0.22501082058674335,0
-1.7555253629756438,-0.4525246102570795,0
-6.733236697034175,0.8542053519535274,0
1.3879695532041731,0.26410587746800285,2
1.303865228176641,-0.2210277996234568,2
-1.7825195301072854,0.903666985757774,0
-1.4200830109866478,0.4785378613359146,0
-1.1838911036541175,-0.6787100181954566,0
0.4285759980308117,1.5252799839808648,1
1.1775421504884025,1.5716609828907329,2
-1.2763943086941019,-1.1501871904992644,0
-0.9732795680447963,0.31524877558830877,0
0.7188912514364268,-1.3272113351058126,2
0.2666680619155758,-1.2880952962138585,2
-0.09792660352733909,-0.5908832389496252,0
-1.0304929852177809,-0.38471505739506023,0
-0.49767208502865745,3.243217552215285,1
0.04720259029574016,0.10937008791708312,1
-0.15363780925631826,-1.0816280046963138,0
1.8885301595098865,-1.1846288699828493,2
0.47778995512487565,-1.856844834390479,2
0.20371695497942516,-0.6748359119105223,2
1.7415383917972813,-0.5653657331113211,2
0.09491361336334221,-1.1563011863059978,2
2.327129086727845,0.44732187961421416,2
0.8157782570527655,-1.228985729884224,2
0.4388414916468407,-0.12026204874999248,2
-1.268721054574027,-1.1651209759878485,0
0.13936826511762684,1.069690913113854,0
0.8606262619614773,-0.6446033911883082,2
-0.5325172116036984,0.1845570174366849,0
2.8087495587250526,2.275589969400985,1
-6.63693106089217,0.9673642011829094,0
1.583865655708441,-1.0691545555613156,2
0.24510834858813388,0.08692308023340364,2
-1.1922315547873685,-0.8616832464767002,0
5.748849811624851,-1.6472848678178627,2
-0.4256485331820351,-0.28403866684729084,0
0.5936594138209581,1.406049982533797,1
-2.130030328665759,0.30252810515298556,0
-1.0917102044387779,1.8852230753907209,1
1.5815651234730397,-0.6888314625191098,2
